,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
84,shufflenetg2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetg2/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9062,0.3767969127955024,0.14908980052858564,0.055835597,[None],0,cifar10,cifar10,cifar10,Neural Network
85,shufflenetg2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetg2/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9072,0.38159969733797255,0.14803892349324538,0.05286427,[None],1,cifar10,cifar10,cifar10,Neural Network
86,shufflenetg2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetg2/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9099,0.373011489694087,0.14822092103766424,0.051876508,[None],2,cifar10,cifar10,cifar10,Neural Network
87,shufflenetg2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetg2/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9063,0.3770618906596157,0.14812204104050053,0.05405907,[None],3,cifar10,cifar10,cifar10,Neural Network
88,shufflenetg2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetg2/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9052,0.37455105644813214,0.15053372853795116,0.061514173,[None],4,cifar10,cifar10,cifar10,Neural Network
89,shufflenetg3,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetg3/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9017,0.38173325166008626,0.15583461280545616,0.05882664,[None],0,cifar10,cifar10,cifar10,Neural Network
90,shufflenetg3,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetg3/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9022,0.38213642129338804,0.15575751733406099,0.06248911,[None],1,cifar10,cifar10,cifar10,Neural Network
91,shufflenetg3,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetg3/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9008,0.3856119366285886,0.15531030875270366,0.06064541,[None],2,cifar10,cifar10,cifar10,Neural Network
92,shufflenetg3,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetg3/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9058,0.37596874428864413,0.15021338634966966,0.05752503,[None],3,cifar10,cifar10,cifar10,Neural Network
93,shufflenetv2_0_5,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetv2_0_5/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8846,0.37375144827862666,0.1728011898304129,0.10317884,[None],0,cifar10,cifar10,cifar10,Neural Network
94,shufflenetv2_0_5,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/shufflenetv2_0_5/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8857,0.3782136433327168,0.1736355909580301,0.101588756,[None],1,cifar10,cifar10,cifar10,Neural Network
