,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
49,resnet50-vtab-rotation,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab-rotation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76502,0.9497704732519843,0.3288156105190624,0.26469460129737854,,0,,imagenet,imagenet,Neural Network
50,resnet50-vtab-semi-exemplar,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab-semi-exemplar.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.61622,1.6723371053438063,0.5088738790534669,0.4600798785686493,,0,,imagenet,imagenet,Neural Network
51,resnet50-vtab-semi-rotation,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab-semi-rotation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.60924,1.7063736025730194,0.5217677959404027,0.4230998158454895,,0,,imagenet,imagenet,Neural Network
52,resnet50_aws_baseline,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50_aws_baseline.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76138,0.969817620153137,0.3361530629609756,0.2637189981031026,,0,,imagenet,imagenet,Neural Network
53,resnext101_32x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnext101_32x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78188,0.9143698271491045,0.3142397085355818,0.2103162790336204,,0,,imagenet,imagenet,Neural Network
54,resnext101_32x8d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnext101_32x8d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79312,0.9266161746676597,0.3073376694101848,0.17539262811775522,,0,,imagenet,imagenet,Neural Network
55,resnext101_64x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnext101_64x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78956,0.8933086030824671,0.3050776492554563,0.20150193273954195,,0,,imagenet,imagenet,Neural Network
56,resnext50_32x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnext50_32x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77618,0.9400852656097329,0.32148096792415226,0.21885069657105508,,0,,imagenet,imagenet,Neural Network
57,se_resnet101,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78396,0.9371104249092111,0.3130656130248379,0.40565163033739526,,0,,imagenet,imagenet,Neural Network
58,se_resnet152,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnet152.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78658,0.9167863784873955,0.3066737606871156,0.3935524680715976,,0,,imagenet,imagenet,Neural Network
59,se_resnet50,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77636,0.9760089565740866,0.3231641104866384,0.42196612346200646,,0,,imagenet,imagenet,Neural Network
60,se_resnext101_32x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnext101_32x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.80236,0.8606429683552821,0.28611586986511806,0.36984468389163355,,0,,imagenet,imagenet,Neural Network
61,se_resnext50_32x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnext50_32x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79076,0.895554299055955,0.3018055593816187,0.2558298843144311,,0,,imagenet,imagenet,Neural Network
62,senet154,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_senet154.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.81304,0.836412918529435,0.27479059114727855,0.3624049921018961,,0,,imagenet,imagenet,Neural Network
63,shufflenet_v2_x0_5,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_shufflenet_v2_x0_5.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.60552,1.7829835261324496,0.5210576817945947,0.4470577464445981,,0,,imagenet,imagenet,Neural Network
