,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
12,dpn68,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_dpn68.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.41674,2.8364906039458715,0.7278783376665565,0.6140777686582016,,0,,imagenet,imagenet_c_fog_3,Neural Network
13,dpn98,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_dpn98.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.5004,2.4088284517082577,0.6514924086804728,0.4864379183693601,,0,,imagenet,imagenet_c_fog_3,Neural Network
14,efficientnet-b0,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b0.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.40198,2.9644004151189396,0.743071485515184,0.7342982292175293,,0,,imagenet,imagenet_c_fog_3,Neural Network
15,efficientnet-b0-autoaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b0-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.45958,2.5651471525005447,0.681861633642493,0.7302380204200745,,0,,imagenet,imagenet_c_fog_3,Neural Network
16,efficientnet-b1,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b1.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.43982,2.7596980137378653,0.7050405344516165,0.700507640838623,,0,,imagenet,imagenet_c_fog_3,Neural Network
17,efficientnet-b1-autoaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b1-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.53328,2.175503445701266,0.6014558352257064,0.6451863050460815,,0,,imagenet,imagenet_c_fog_3,Neural Network
18,efficientnet-b2,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.48824,2.471035391167756,0.6563066632633772,0.6905045509338379,,0,,imagenet,imagenet_c_fog_3,Neural Network
19,efficientnet-b2-autoaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b2-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.5521,2.077401832810785,0.5810244058898186,0.6353824734687805,,0,,imagenet,imagenet_c_fog_3,Neural Network
20,efficientnet-b3,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b3.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.5207,2.286636812931914,0.6213542329552726,0.6152815818786621,,0,,imagenet,imagenet_c_fog_3,Neural Network
21,efficientnet-b3-autoaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b3-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.574,2.0100287160543817,0.5635569714457553,0.6318100690841675,,0,,imagenet,imagenet_c_fog_3,Neural Network
